,C,D,L,uid,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,p,zeta,_destination_path,alpha,beta
505,0.136282764507,0.11684161509450003,0.7468678334689999,761.0,Defector,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
506,0.08493210138599999,0.095585049928,0.819476600161,762.0,Loner,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
507,0.10495527976600003,0.09574558192999999,0.7992857033759999,763.0,Neither,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
508,0.034006201755,0.040921570932,0.9250693798069999,764.0,Both,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
509,0.16323745545100002,0.17941860563899997,0.6573316991079999,765.0,Defector,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
510,0.130309904241,0.175585783255,0.6940891360490001,766.0,Loner,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
511,0.154499342099,0.15449096008599997,0.690987193127,767.0,Neither,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
512,0.04820641588099999,0.06766195456400001,0.8841141775600001,768.0,Both,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
513,0.160415143175,0.23188184624499997,0.6076920176810001,769.0,Defector,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
514,0.12338526542799996,0.19503026292399997,0.681568031184,770.0,Loner,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
515,0.152235982917,0.18299409719800003,0.6647481219970002,771.0,Neither,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
516,0.04515723342349999,0.067247535127,0.8875731625629998,772.0,Both,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
517,0.145343557969,0.24916506854200002,0.6054794436669999,773.0,Defector,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
518,0.133036852126,0.20741579970399998,0.6595319825879999,774.0,Loner,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,/tmpdir/job/9974553.11,0,0
519,0.126137396322,0.15437162829200002,0.7194681918560001,775.0,Neither,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,/tmpdir/job/9974553.12,0,0
520,0.0524562506465,0.0792160276875,0.8683047639089997,776.0,Both,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
521,0.16315695164799998,0.285531991328,0.551299525672,777.0,Defector,200000,3.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
522,0.047317645501000004,0.08056193915899999,0.872094669766,780.0,Both,200000,3.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
523,0.0,0.0,1.0,793.0,Defector,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
524,0.0,0.0,1.0,794.0,Loner,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
525,0.0,0.0,1.0,795.0,Neither,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
526,0.0,0.0,1.0,796.0,Both,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
527,0.0027477372690000003,7.588563999999999e-06,0.997227975,797.0,Defector,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
528,0.0006798520550000001,3.2991318999999996e-05,0.9992825699999999,798.0,Loner,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
529,0.0034576783999999998,1.2270733e-05,0.9965106750000002,799.0,Neither,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
530,0.000628331775,3.3479554e-05,0.999334043,800.0,Both,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
531,0.15404378484199996,0.08096880317,0.7649792846269998,801.0,Defector,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
532,0.08263678699100001,0.06160202120100001,0.8557552184930002,802.0,Loner,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
533,0.12018939143899997,0.09151536925,0.7882812971099998,803.0,Neither,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
534,0.04102620457,0.01942960587,0.939540210929,804.0,Both,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
535,0.142774355436,0.12120138625500003,0.7360171328180001,805.0,Defector,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
536,0.09373636475799998,0.10783608025,0.798420623693,806.0,Loner,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
537,0.11023392018,0.098904900579,0.790847684665,807.0,Neither,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
538,0.029713755321000002,0.033306133762,0.936977007957,808.0,Both,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
539,0.17239023655099997,0.190326652628,0.6372721727259999,809.0,Defector,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
540,0.13065437436299998,0.17825866404699997,0.6910715302120001,810.0,Loner,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
