,C,D,L,p,norm
1126,0.654,0.06757,0.2786,12,Loner
945,0.8813,0.03604,0.08276,12,Defector
466,0.934,0.0642,0.001796,12,Loner
467,0.388,0.04996,0.562,12,Neither
167,0.4014,0.06006,0.5386,12,Neither
888,0.4766,0.05453,0.469,12,Both
887,0.576,0.04214,0.3818,12,Neither
886,0.71,0.06085,0.2291,12,Loner
885,0.9595,0.02399,0.01665,12,Defector
166,0.9453,0.01045,0.04407,12,Loner
165,0.9727,0.02715,0.0002499,12,Defector
826,0.9673,0.0322,0.0004506,12,Loner
825,0.9414,0.032,0.02667,12,Defector
225,0.763,0.06036,0.1764,12,Defector
226,0.9365,0.04932,0.013916,12,Loner
227,0.3557,0.05646,0.588,12,Neither
228,0.683,0.03415,0.2827,12,Both
405,0.7437,0.04926,0.2073,12,Defector
468,0.3582,0.06464,0.577,12,Both
465,0.538,0.0977,0.364,12,Defector
768,0.503,0.0438,0.4531,12,Both
168,0.4001,0.05942,0.5405,12,Both
1187,0.4128,0.0589,0.5283,12,Neither
1185,0.8774,0.04407,0.07874,12,Defector
1188,0.465,0.0457,0.4893,12,Both
828,0.3826,0.05325,0.564,12,Both
767,0.509,0.05032,0.4412,12,Neither
406,0.795,0.0417,0.1632,12,Loner
766,0.809,0.02834,0.1625,12,Loner
765,0.3894,0.0661,0.5444,12,Defector
407,0.494,0.04913,0.4568,12,Neither
408,0.4006,0.059,0.5405,12,Both
1186,0.8535,0.0572,0.0892,12,Loner
827,0.3357,0.05994,0.6045,12,Neither
1010,0.911,0.065,0.02365,13,Loner
1009,0.8687,0.03397,0.0972,13,Defector
829,0.9727,0.0254,0.001801,13,Defector
592,0.3408,0.0631,0.596,13,Both
1189,0.9673,0.0323,0.0005565,13,Defector
590,0.742,0.0563,0.2014,13,Loner
1011,0.4084,0.0514,0.54,13,Neither
589,0.9326,0.0672,9.835e-05,13,Defector
349,0.7544,0.0515,0.1941,13,Defector
830,0.934,0.0638,0.002314,13,Loner
831,0.455,0.04938,0.4954,13,Neither
229,0.792,0.05292,0.1549,13,Defector
832,0.4336,0.0451,0.5215,13,Both
591,0.3032,0.0585,0.638,13,Neither
1012,0.4417,0.05646,0.502,13,Both
1131,0.4124,0.0524,0.535,13,Neither
1130,0.967,0.02762,0.005573,13,Loner
1190,0.7056,0.05328,0.2413,13,Loner
49,0.619,0.08606,0.2947,13,Defector
50,0.863,0.03607,0.10126,13,Loner
51,0.5405,0.048,0.4111,13,Neither
52,0.436,0.05176,0.512,13,Both
172,0.4587,0.0465,0.4949,13,Both
171,0.6113,0.04227,0.3464,13,Neither
170,0.7563,0.04825,0.1956,13,Loner
169,0.934,0.05695,0.009155,13,Defector
1069,0.625,0.05072,0.3245,13,Defector
1070,0.73,0.0716,0.1982,13,Loner
1071,0.4448,0.0505,0.5044,13,Neither
1072,0.568,0.04825,0.384,13,Both
352,0.3777,0.0572,0.565,13,Both
351,0.504,0.05606,0.4402,13,Neither
350,0.7534,0.05035,0.196,13,Loner
1132,0.3433,0.057,0.5996,13,Both
1129,0.9727,0.02727,0.00011903,13,Defector
230,0.934,0.0658,0.0001771,13,Loner
712,0.382,0.05942,0.5586,13,Both
232,0.3372,0.0524,0.6104,13,Both
891,0.4314,0.05154,0.517,13,Neither
892,0.467,0.0495,0.4834,13,Both
