,C,D,L,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
155,0.27255265030000003,0.3012330336,0.42620459800000005,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.85,0,2,0.1
156,0.289088205,0.34347599200000006,0.367429382,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.9,0,2,0.1
157,0.28957312939999996,0.32851211,0.3819068710000001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.9,0,2,0.1
158,0.288554887,0.319365176,0.392069831,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.9,0,2,0.1
159,0.28945139400000003,0.324754024,0.385786642,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.9,0,2,0.1
160,0.30756591600000005,0.340776163,0.3516554950000001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.95,0,2,0.1
161,0.306193347,0.338464228,0.35533850299999997,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.95,0,2,0.1
162,0.305280989,0.3473354979999999,0.34737950900000003,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.95,0,2,0.1
163,0.30789458100000006,0.337488626,0.35461415099999993,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.95,0,2,0.1
164,0.32069162700000003,0.32808221300000007,0.35122795000000007,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,1.0,0,2,0.1
165,0.32069156500000007,0.32807399300000006,0.35123647999999996,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,1.0,0,2,0.1
166,0.32078338,0.32797511900000004,0.35124324399999995,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,1.0,0,2,0.1
167,0.32060480199999997,0.328118507,0.351278569,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,1.0,0,2,0.1
168,0.15251459482,0.08247442963259999,0.7650028474210002,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
169,0.08861598466,0.058187885635000006,0.853189680446,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
170,0.11100135050699998,0.075963061412,0.8130224997450001,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
171,0.040536689030999995,0.0217498801554,0.93770924948,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
172,0.110751273163,0.08017342150300001,0.8090454634900001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
173,0.072262422939,0.05570766567300001,0.8719994045100001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
174,0.11249876851699998,0.09036513207100001,0.7971068053099999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
175,0.038526467366,0.028947807066,0.9324911089900001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
176,0.16469888022999998,0.118865462181,0.7164302183,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
177,0.135383723751,0.09542298262,0.76918753752,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
178,0.17458658392499998,0.14257513069799999,0.6828304138499999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
179,0.08617730745600001,0.06114607737499999,0.8526727227699998,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
180,0.19553850112000004,0.14811176971999998,0.65633966061,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
181,0.14373978077,0.11306352727999999,0.7431857449,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
182,0.20235943654000002,0.17977236156999998,0.6178584726799999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
183,0.11009737360999998,0.07763780426,0.8122538738399999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
184,0.22624514844,0.15746207459,0.61627988182,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
185,0.18580163,0.13169890170999998,0.6824862133400001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
186,0.23060855644,0.19495687902999997,0.5744210477999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
187,0.13645986314,0.09603837942999999,0.7674886507800001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
188,0.23800576271999996,0.17023141938,0.5917509128,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
189,0.19060198488,0.1494123244,0.659974577,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
190,0.23604631599999998,0.19600317388,0.56793817578,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
191,0.15430321643,0.11742756694999998,0.7282581154400001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
