,Norm,p,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
102,Neither,12,6e-05,0.00242,0.0,0.12274,2.23244,0.0,227.95309,29.00271,0.0,32.92659,25.88047,0.0,,,,,,,,
103,Both,12,474.70002,4.80791,0.0,54.68804,1.34303,0.0,47.13915,1.0831,0.0,30.84506,4.97038,0.0,,,,,,,,
104,Defector,14,35.34974,6.31668,0.0,29.03625,0.0,9.19946,0.0,179.38466,14.17796,0.0,29.18333,0.0,15.34358,0.0,,,,,,
105,Loner,14,126.50222,5.58641,0.0,18.84706,0.0,17.12482,0.0,39.02597,16.94362,0.0,33.90279,0.0,20.91347,0.0,,,,,,
106,Neither,14,4e-05,0.00539,0.0,0.24973,0.0,4.72035,0.0,464.45535,54.52993,0.0,52.32827,0.0,31.58197,0.0,,,,,,
107,Both,14,370.45357,3.7348,0.0,48.89831,0.0,1.12522,0.0,43.00601,1.19595,0.0,30.76389,0.0,6.12693,0.0,,,,,,
108,Defector,16,6.80883,0.0,1.39977,0.0,23.03286,0.0,2.64396,0.0,7.27247,0.0,2.19954,0.0,15.24961,0.0,12.18649,0.0,,,,
109,Loner,16,27.8584,0.0,1.0816,0.0,2.62738,0.0,1.62958,0.0,14.47585,0.0,22.8936,0.0,17.46142,0.0,14.46754,0.0,,,,
110,Neither,16,5e-05,0.0,0.00505,0.0,0.23571,0.0,4.53507,0.0,441.90608,0.0,51.24866,0.0,49.19941,0.0,28.15724,0.0,,,,
111,Both,16,497.78919,0.0,5.01909,0.0,51.54918,0.0,1.3602,0.0,42.88806,0.0,1.08002,0.0,30.25019,0.0,4.70869,0.0,,,,
112,Defector,18,12.1222,0.0,1.06146,0.0,25.30047,0.0,1.19538,0.0,0.0,9.20578,0.0,1.58897,0.0,15.08779,0.0,11.14325,0.0,0.0,,
113,Loner,18,194.48687,0.0,8.07728,0.0,25.12896,0.0,22.83901,0.0,0.0,47.67729,0.0,21.46545,0.0,40.35305,0.0,22.4823,0.0,0.0,,
