,C,D,L,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
113,0.242144156784,0.0938071084987,0.6640398783000001,/tmpdir/job/1382628.114,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,5,0.1
114,0.130740469118,0.0688348794566,0.8004115591339999,/tmpdir/job/1382628.115,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,5,0.1
115,0.9811620499999997,0.010986525744599998,0.0078231796276,/tmpdir/job/1382628.116,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,5,0.1
116,0.7756030754700002,0.034993973265,0.18937552565299998,/tmpdir/job/1382628.117,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
117,0.269905300113,0.09970454512299998,0.630378825452,/tmpdir/job/1382628.118,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
118,0.1328204706555,0.0686658821645,0.7985021145650001,/tmpdir/job/1382628.119,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
119,0.9806239750000002,0.0110199766049,0.0083256659779,/tmpdir/job/1382628.120,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
120,0.9116056118999999,0.047916447962,0.040439873374000006,/tmpdir/job/1382628.121,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,7,0.1
121,0.717697555163,0.045624636682500004,0.23664947071159995,/tmpdir/job/1382628.122,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,7,0.1
122,0.7086475479819999,0.025460272179299994,0.2658667390663,/tmpdir/job/1382628.123,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,7,0.1
123,0.9627415739300001,0.011277622029499999,0.025952460146500007,/tmpdir/job/1382628.124,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,7,0.1
124,0.9823521739999997,0.017365321077,0.000245701201,/tmpdir/job/1382628.125,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
125,0.8476293975189999,0.026683667264199993,0.1256590028566,/tmpdir/job/1382628.126,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
126,0.984029891,0.009106877883400002,0.006837353152400001,/tmpdir/job/1382628.127,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
127,0.9805304799999998,0.011031764598000001,0.008407534743,/tmpdir/job/1382628.128,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
128,0.7418700946540001,0.041248541613999996,0.21684568046730002,/tmpdir/job/1382628.129,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,9,0.1
129,0.858954105003,0.0254618596196,0.1155539030526,/tmpdir/job/1382628.130,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,9,0.1
130,0.9827949730000002,0.009760707246400002,0.0074175743615,/tmpdir/job/1382628.131,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,9,0.1
